FID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,POP_SOURCE,X,Y,pop_1,year,capital,rank,threshold,dist_km,type
"1574",Thule,GRL-NRD,Nordgronland,GL,Greenland,Provincial capital,"0","0",,,"-7719450.048","14097583.4","590","2024","0","7","5",0.00,coast
"2458",Mbabane,SWZ-HHH,Hhohho,WZ,Eswatini,National capital,"0","0",,,"3472199.67","-3036704.874","60,691","2017","1","1","40",164.30,inland
"1011",Astana,KAZ-TSL,Tselinograd,KZ,Kazakhstan,National and provincial capital,"1107270","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"7951774.024","6654794.495","1,354,507","2023","1","7","5",838.90,inland
"22",Avarua,COK,Cook Is.,CW,Cook Is.,National and provincial capital,"0","0",,,"-17785147.09","-2419719.439","5,113","2021","1","2","30",0.00,coast
"2497",Port Louis,MUS,Mauritius,MP,Mauritius,National capital,"146737","5","100,000 to 249,999",UN_Data_2010_2020,"6400425.031","-2292588.201","140,403","2022","1","2","30",0.00,coast
"1848",Accra,GHA-GAC,Greater Accra,GH,Ghana,National and provincial capital,"1594419","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"-22366.82844","619749.2251","2,070,463","2010","1","2","30",10.52,coast
"1846",Kumasi,GHA-ASH,Ashanti,GH,Ghana,Provincial capital,"1730249","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"-180559.9567","746089.1412","2,035,064","2010","0","2","30",193.10,inland
"865",Sanaa,YEM-SAN,San'a',YM,Yemen,National and provincial capital,"3820000","2","1,000,000 to 4,999,999",UN_Habitat_2020,"4921379.394","1730890.68","1,707,531","2004","1","7","5",156.70,inland
"2214",Aden,YEM-ADN,Aden,YM,Yemen,Other,"1247000","2","1,000,000 to 4,999,999",UN_Habitat_2020,"5013996.773","1433039.158","588,938","2004","0","1","40",0.00,coast
"1460",Tokyo,JPN-KNT,Kanto,JA,Japan,National and provincial capital,"9272740","1","5,000,000 and greater",UN_Data_2010_2020,"15563467.4","4257090.154","9,733,276","2020","1","1","40",80.75,inland
"1399",Kita Kyushu,JPN-KYS,Kyushu,JA,Japan,Other,"961286","3","500,000 to 999,999",UN_Data_2010_2020,"14560305.58","3986163.302","939,029","2020","0","1","40",34.39,coast
"1513",Washington D.C.,USA-DOC,District of Columbia,US,United States,National and provincial capital,"705749","3","500,000 to 999,999",US_Census_2019,"-8566461.581","4706057.115","678,972","2023","1","1","40",51.34,inland
"1529",Boston,USA-MSS,Massachusetts,US,United States,Provincial capital,"692600","3","500,000 to 999,999",US_Census_2019,"-7915149.374","5217318.758","653,833","2023","0","1","40",31.03,coast
"1103",Thimphu,BTN-THM,Thimphu,BT,Bhutan,National and provincial capital,"114551","5","100,000 to 249,999",UN_Data_2010_2020,"9981684.83","3178928.347","114,551","2017","1","2","30",577.80,inland
"2466",Gaborone,BWA-SEA,South-East,BC,Botswana,National capital,"231592","5","100,000 to 249,999",UN_Data_2010_2020,"2888829.664","-2831582.515","246,325",,"1","2","30",749.40,inland
"984",Zagreb,HRV,Croatia,HR,Croatia,National capital,"790017","3","500,000 to 999,999",UN_Data_2010_2020,"1777104.617","5749475.079","663,592","2021","1","1","40",165.60,inland
"978",Rijeka,HRV,Croatia,HR,Croatia,Other,"128624","5","100,000 to 249,999",UN_Data_2010_2020,"1606707.65","5674145.78","107,964","2021","0","2","30",21.24,coast
"852",Khartoum,SDN-AKH,Al Khartum,SU,Sudan,National and provincial capital,"6028000","1","5,000,000 and greater",UN_Habitat_2020,"3621222.639","1752668.527","1,410,858","2008","1","7","5",641.50,inland
"1532",Caracas,VEN-DFD,Distrito Federal,VE,Venezuela,National and provincial capital,"2082130","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"-7447082.193","1175004.613","2,087,700","2019","1","2","30",9.93,coast
"469",Valencia,VEN-CRB,Carabobo,VE,Venezuela,Provincial capital,"888109","3","500,000 to 999,999",UN_Data_2010_2020,"-7570059.403","1139016.186","1,585,500","2019","0","7","5",42.41,inland
