FID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,POP_SOURCE,X,Y,pop_1,year,capital,rank,threshold,dist_km,type
"817",Damascus,SYR-DMS,Dimashq,SY,Syria,National and provincial capital,"0","0",,,"4040897.219","3961859.957","1,414,913","2004","1","7","5",104.10,inland
"746",Al Ladhiqiyah,SYR-ALD,Al Ladhiqiyah,SY,Syria,Provincial capital,"0","0",,,"3984347.37","4234910.581","383,786","2004","0","2","30",0.00,coast
"492",Havana,CUB-CHB,Ciudad de la Habana,CU,Cuba,National and provincial capital,"2131937","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"-9174557.866","2637939.992","2,137,847","2022","1","2","30",7.86,coast
"380",Camaguey,CUB-CMG,Camaguey,CU,Cuba,Provincial capital,"309542","4","250,000 to 499,999",UN_Data_2010_2020,"-8673346.658","2437964.687","310,819","2022","0","2","30",74.02,inland
"1601",Torshavn,FRO,Faeroe Islands,FO,Faroe Is.,National and provincial capital,"13408","7","Less than 50,000",UN_Data_2010_2020,"-753632.6812","8864123.482","14,099","2024","1","2","30",0.00,coast
"971",Vienna,AUT-WIE,Wien,AU,Austria,National capital and provincial capital enclave,"1897491","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"1816843.01","6140546.352","2,005,760","2024","1","2","30",501.40,inland
"824",Amman,JOR-AMM,'Amman,JO,Jordan,National and provincial capital,"4007526","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"4000032.736","3756667.658","1,812,059","2015","1","7","5",131.70,inland
"608",Belgrade,SRB,Serbia,RB,Serbia,National capital,"1382547","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"2272315.611","5590039.83","1,197,714","2022","1","7","5",418.40,inland
"842",Kampala,UGA-CNT,Central,UG,Uganda,National and provincial capital,"1507114","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"3626232.013","35956.50132","1,680,600","2020","1","7","5",33.77,inland
"2392",Masaka,UGA-STB,South Buganda,UG,Uganda,Provincial capital,"103293","5","100,000 to 249,999",UN_Data_2010_2020,"3532612.76","-37292.02679","116,600","2020","0","2","30",28.08,coast
"609",Podgorica,MON,Montenegro,MJ,Montenegro,National capital,"185937","5","100,000 to 249,999",UN_Data_2010_2020,"2159598.601","5236173.475","173,024","2023","1","2","30",66.32,inland
"349",Tegucigalpa,HND-FMR,Francisco Morazan,HO,Honduras,National and provincial capital,"996658","3","500,000 to 999,999",UN_Data_2010_2020,"-9707393.287","1585577.469","996,658","2013","1","1","40",97.21,inland
